# Puzzles from the Lichess puzzle database (CC0), chosen by python/puzzles.py.
# id<TAB>fen<TAB>moves (UCI; the first is the opponent's)<TAB>rating<TAB>themes
X1Ye5	r3r2k/2p2pp1/2n5/p5P1/1bPq1p1P/1P2P2R/1PQ2P2/R2K2N1 w - - 0 21	e3d4 e8e1	530	mate mateIn1 middlegame
Y8I1T	3r4/5pkp/1p3bp1/4q3/8/1B3Q2/PP3PPP/3R2K1 w - - 5 28	d1d8 e5e1	548	endgame mate mateIn1
ZWmUO	r1bq1rk1/pp2bppp/2p1p3/3NQ3/2B5/1P6/PBPP1PPP/2KR3R b - - 0 12	c6d5 e5g7	566	kingsideAttack mate mateIn1 middlegame
uRVPg	r2q1rk1/ppp2ppp/1n6/3nP1P1/4Q3/2N5/PP4P1/R1B1K2R b KQ - 0 16	d5c3 e4h7	576	kingsideAttack mate mateIn1 middlegame
mX46Y	2kr3r/ppqnbpp1/4p3/1P1p2Np/N2P2n1/P6P/2PB1PP1/R2Q1RK1 w - - 2 16	g5f7 c7h2	581	mate mateIn1 middlegame
NrxLW	2r3rk/pb2q1bR/1p2p1p1/3pP1P1/3B2P1/2P5/PP2Q3/4RBK1 b - - 0 28	h8h7 e2h2 g7h6 h2h6	592	mate mateIn2 middlegame
gJca8	1n1qk2r/r1p1bppp/p3pn2/4N1B1/1p1PN3/5QP1/PPP2PKP/3R1R2 b k - 7 14	f6e4 f3f7	594	mate mateIn1 middlegame
uZq5K	r5r1/pp3p1k/2p2n1p/3p1P1q/3Pp3/1BP3RQ/P1P2PPP/4R1K1 w - - 8 25	e1e3 h5d1 e3e1 d1e1	600	kingsideAttack mate mateIn2 middlegame
WgrNH	5k2/R7/5K2/6Pp/7r/8/8/8 b - - 1 37	h4b4 a7a8 b4b8 a8b8	602	endgame mate mateIn2 rookEndgame
gaDUd	4k1r1/2qr1R2/p1Q1p3/1p6/1B4b1/P7/6P1/5RK1 b - - 0 38	c7c6 f7f8 g8f8 f1f8	605	mate mateIn2 middlegame
I3VBW	5rk1/5ppp/1Q6/4P3/5q2/8/PPPR3P/2Kb4 w - - 0 26	c1d1 f4f1	615	endgame mate mateIn1
HuHBE	r1N2k2/pp3pq1/2p5/4P3/1PP2P2/5K2/P4P2/3RR2r b - - 0 25	h1e1 d1d8	620	endgame mate mateIn1
AsqFo	3r2k1/1pQ2ppp/p3pb2/1q6/3B4/P1P4P/1P3PPK/8 b - - 3 27	f6d4 c7d8 b5e8 d8e8	621	endgame fork hangingPiece mate mateIn2
9oJC7	8/pp3p2/8/2pPkp2/2P1r3/5KP1/P1R4P/8 b - - 0 30	e4e1 c2e2 e1e2 f3e2	624	endgame rookEndgame
iGBE7	7k/2r3p1/7p/8/p5Q1/P6P/1b4P1/7K w - - 0 40	g4d1 c7c1 d1c1 b2c1	628	endgame pin
hD5x4	6rk/p5B1/6Q1/1p3r1p/2pP3P/6R1/P4qPK/8 b - - 0 32	g8g7 g6g7	631	endgame mate mateIn1
410ih	r4rk1/2R3Rp/p3p3/q3Pn2/1p4Q1/8/PP3PPP/5K2 b - - 0 23	f5g7 g4g7	634	endgame mate mateIn1
xOGzH	r4rk1/1b3pp1/1p1qpN2/6p1/3p4/2NQP3/PP3P1R/R3K3 b Q - 0 21	g7f6 d3h7	637	mate mateIn1 middlegame
9lpqz	2k5/1pp3R1/p5p1/2N3P1/1P3n2/r2p4/5K2/8 b - - 1 36	d3d2 g7g8	637	endgame mate mateIn1
OtZ7Q	2k2r2/pp3b2/2pr1p2/Pq2p2p/Nn2P2P/QB6/1PP5/1K1R1R2 w - - 0 31	d1d6 b5f1 d6d1 f1d1	638	hangingPiece mate mateIn2 middlegame
wE67H	6k1/5p2/p3p3/3pP3/8/4q2r/5bP1/3Q1R1K w - - 0 36	g2h3 e3h3	640	endgame mate mateIn1
W2Myv	8/5p2/5k2/3ppN2/4p1PK/2Rbr2P/8/8 b - - 1 39	d5d4 c3c6	643	endgame mate mateIn1
Nr5jn	2r2k2/6RR/3P4/2r5/1p6/4b3/PP2N1B1/1K6 w - - 1 36	d6d7 c5c1 e2c1 c8c1	644	mate mateIn2 middlegame sacrifice
8r40B	2rbr1k1/p1p2ppp/1pP1q3/3p2n1/N2P4/3B1PBb/PP4PK/2RQR3 b - - 1 20	e6h6 e1e8	645	hangingPiece kingsideAttack mate mateIn1 middlegame
yGv7n	r4rk1/4b1pp/2pqp3/p2n2B1/P2P2n1/1QN4P/1P2NP2/R4RK1 w - - 0 18	g5e7 d6h2	646	mate mateIn1 middlegame
